[12-30 09:52:58.736 | TestMain.java:36 | DEBUG ]  Start Time: 2021-12-30 09:52:58:732
[12-30 09:58:24.737 | IKEv2KeysGener.java:220 | DEBUG ]  skAr: 8c0e28f146f28f4607d10750d0d841b28c6d6f209bfaa1f537ebb1025ed1f5a32ec9f468879027cf3035facdf5da3d46cf06ab53ef72cf05eff9c453cea1faf0
[12-30 09:58:24.737 | IKEv2KeysGener.java:221 | DEBUG ]  skEi: 79ec87d93321a085b2f9cfb6f3ba06dc56773c2fb69c796ff12795f6d32520a8
[12-30 09:58:24.737 | IKEv2KeysGener.java:222 | DEBUG ]  skEr: 2f29e56d26c15d6b2908fc08d05dbbde995386c811182495e09ae851b403839b
[12-30 09:58:24.738 | IKEv2KeysGener.java:223 | DEBUG ]  skPi: a9a5574ee86fd9d1ce18d02f2b4a138ac50d1cae9e76425bd9a69c7393bf010c3995b34793d57fa5c9148ffd9b98ea4a60f761c85f18e65f0d864a142bd203f2
[12-30 09:58:24.738 | IKEv2KeysGener.java:224 | DEBUG ]  skPr: 88676b3fa27dee561df1b6c6c2f0cf1324fc8731d28061dcd6c85d3239446248247dbc439843466a20b13e2c3ec8f7ec5418551781b5bf6898d7f30ec4c01f00
[12-30 09:58:24.739 | IKEv2KeysGener.java:225 | DEBUG ]  f32881bb4f135e07,ab1f78c8314ac4f2,79ec87d93321a085b2f9cfb6f3ba06dc56773c2fb69c796ff12795f6d32520a8,2f29e56d26c15d6b2908fc08d05dbbde995386c811182495e09ae851b403839b,"AES-CBC-256 [RFC3602]",d3bace4936a4f91afe05895667f3d2fd4bfdb44efda9750c7c9dc3bdf1005e9805a737381b08c6a50998a75244e7d5272edd77801f51c610e36b92406490f977,8c0e28f146f28f4607d10750d0d841b28c6d6f209bfaa1f537ebb1025ed1f5a32ec9f468879027cf3035facdf5da3d46cf06ab53ef72cf05eff9c453cea1faf0,"HMAC_SHA2_512_256 [RFC4868]"
[12-30 09:58:24.740 | IKEv2Client.java:236 | DEBUG ]  ispi: f32881bb4f135e07
[12-30 09:58:24.740 | IKEv2Client.java:237 | DEBUG ]  rspi: ab1f78c8314ac4f2
[12-30 09:58:24.740 | IKEv2Client.java:238 | DEBUG ]  r_ke: 6702f68e10d5044da781e7386a3435fdf0dc67a3a5cb31157efe946a0a347c5cc89e49876f789e095b8c1bff5497d706db06959cc9f74c1b397ce1e1fa9d452ab5b3aeb532918d9bac6b01d21d6a39b4a33efe806e91d0ee78f47f7280371480724ffdd3cf35363ecd0ca7483e5281f80033f2e84d6ad313bedcefe951d27e94488b275e979a19a247b5b22ba1b001f3ade1089b2d8caff21c5f6fa4eff91071c4a65f7f5e14405e2b58befb443be8243a95242a155be93f7f815e1162df9dd9b3ab75927f383cedff817d31ecfa63168200b70cbbd69a841e5ed08b1f77883fd851b3514dcf9fba723403e6c3ddce9663e9275d3df642c6865d1a8d9a2e7ab7
[12-30 09:58:24.740 | IKEv2Client.java:239 | DEBUG ]  r_nonce: 09ff53d087a084da860b4768e61cbe4bbe36d36c
[12-30 09:58:24.741 | IKEv2Client.java:263 | INFO  ]  saInitWithAcceptedSA, RET: OK
[12-30 09:58:24.746 | PktIKEEnc.java:209 | DEBUG ]  skEi: 79ec87d93321a085b2f9cfb6f3ba06dc56773c2fb69c796ff12795f6d32520a8
[12-30 09:58:24.784 | IKEv2Parser.java:187 | DEBUG ]  Dec Data: 24000014aa1f79c8227d37b57e704c98324891152700000c01000000640101642100004802000000834b08705fc8dc93a14d04831b59fbfe8727bfc53c0b2334488f3268b3589810ff440abccdf350ae5a44707ce863ae4a8adc8ea8ad01789c6e8a92a1156a06362c0000280000002401030403ee9d0a720300000801000003030000080300000c00000008050000002d00001801000000070000100000ffff0a0101000a0101ff2900001801000000070000100000ffffac100000ac1000ff2900000c0100400100000005290000080100400a000000080100400b00000003
[12-30 09:58:24.784 | IKEv2Client.java:322 | INFO  ]  authWithPsk, RET: OK
[12-30 09:58:24.800 | PktIKEEnc.java:209 | DEBUG ]  skEi: 79ec87d93321a085b2f9cfb6f3ba06dc56773c2fb69c796ff12795f6d32520a8
[12-30 09:58:27.323 | IKEv2CreChSaParser.java:26 | DEBUG ]  See CRE_CHILD_SA.
[12-30 09:58:54.277 | IKEv2Parser.java:187 | DEBUG ]  Dec Data: 280000380000003401010804d2f468f4c6908e1b0300000c0100000c800e01000300000802000007030000080300000e000000080400000e22000018ee7386b1b9a22bda89beece3c160e8333a8f6dee29000108000e00006702f68e10d5044da781e7386a3435fdf0dc67a3a5cb31157efe946a0a347c5cc89e49876f789e095b8c1bff5497d706db06959cc9f74c1b397ce1e1fa9d452ab5b3aeb532918d9bac6b01d21d6a39b4a33efe806e91d0ee78f47f7280371480724ffdd3cf35363ecd0ca7483e5281f80033f2e84d6ad313bedcefe951d27e94488b275e979a19a247b5b22ba1b001f3ade1089b2d8caff21c5f6fa4eff91071c4a65f7f5e14405e2b58befb443be8243a95242a155be93f7f815e1162df9dd9b3ab75927f383cedff817d31ecfa63168200b70cbbd69a841e5ed08b1f77883fd851b3514dcf9fba723403e6c3ddce9663e9275d3df642c6865d1a8d9a2e7ab70000000c010040010000000500000000000000000000000b
[12-30 10:00:17.880 | IKEv2CreChSaParser.java:93 | DEBUG ]  Nonce Length: 13817
[12-30 10:00:17.881 | IKEv2CreChSaParser.java:94 | DEBUG ]  Offset: 104
[12-30 10:00:30.383 | TestMain.java:36 | DEBUG ]  Start Time: 2021-12-30 10:00:30:380
[12-30 10:00:30.387 | IKEv2Client.java:70 | DEBUG ]  CREATE IKEv2 CLIENT! 
[12-30 10:00:31.190 | IKEv2KeysGener.java:218 | DEBUG ]  skD: 8636e9cf34c00a4d028d5fde0a38b997d4e7ca31149f0b13f17e2baf2a72e089f7d823326f3cd5ac01cd0fb027917c9b60c9c0b6acc17a342de11a0a563a9530
[12-30 10:00:31.190 | IKEv2KeysGener.java:219 | DEBUG ]  skAi: 8c25778ba464f5a1e9b01b4382fe4fe24a17cbdb8e684fca366933f8c407e2e0089c933f12bb3360f67baf1e911791a9284022da2806e576271aafdeeaf7065d
[12-30 10:00:31.190 | IKEv2KeysGener.java:220 | DEBUG ]  skAr: 2c5245fde5b1f7c832bd8008f3e8d171ef4f2a8e0aa0640f1f95b9972d8f19034e4026fe51d7975cc3e021b8dd7dd95efb101e34a763c69622f832c9fb547696
[12-30 10:00:31.191 | IKEv2KeysGener.java:221 | DEBUG ]  skEi: eb1e406c9ad5389e27896a83933a1f1d819ab0fa43cbc1537f868869e8bc46ed
[12-30 10:00:31.191 | IKEv2KeysGener.java:222 | DEBUG ]  skEr: 65532d32cebdcd02ddf5ab7d3826267f702b804ef64a53c1bab8ec94d8a32d9b
[12-30 10:00:31.191 | IKEv2KeysGener.java:223 | DEBUG ]  skPi: 8b931c1fc250fbb3b98ead72d804e904ab2642f5ceb3b74aaf2475ff082b9a3bec62191ae4add1668a0585a08f7a481a50264406fa60dfff4848cb39b9594ea5
[12-30 10:00:31.192 | IKEv2KeysGener.java:224 | DEBUG ]  skPr: b112719181deb40219389282c8453d671d6153aff8ff22f56df36a40aa388ac4b3beea2424581de7072e69d288841795bfdb8cf7903b50f10c1df0d9743150a1
[12-30 10:00:31.193 | IKEv2KeysGener.java:225 | DEBUG ]  6dcc498502875f95,785910065405d869,eb1e406c9ad5389e27896a83933a1f1d819ab0fa43cbc1537f868869e8bc46ed,65532d32cebdcd02ddf5ab7d3826267f702b804ef64a53c1bab8ec94d8a32d9b,"AES-CBC-256 [RFC3602]",8c25778ba464f5a1e9b01b4382fe4fe24a17cbdb8e684fca366933f8c407e2e0089c933f12bb3360f67baf1e911791a9284022da2806e576271aafdeeaf7065d,2c5245fde5b1f7c832bd8008f3e8d171ef4f2a8e0aa0640f1f95b9972d8f19034e4026fe51d7975cc3e021b8dd7dd95efb101e34a763c69622f832c9fb547696,"HMAC_SHA2_512_256 [RFC4868]"
[12-30 10:00:31.193 | IKEv2Client.java:236 | DEBUG ]  ispi: 6dcc498502875f95
[12-30 10:00:31.193 | IKEv2Client.java:237 | DEBUG ]  rspi: 785910065405d869
[12-30 10:00:31.193 | IKEv2Client.java:238 | DEBUG ]  r_ke: 6702f68e10d5044da781e7386a3435fdf0dc67a3a5cb31157efe946a0a347c5cc89e49876f789e095b8c1bff5497d706db06959cc9f74c1b397ce1e1fa9d452ab5b3aeb532918d9bac6b01d21d6a39b4a33efe806e91d0ee78f47f7280371480724ffdd3cf35363ecd0ca7483e5281f80033f2e84d6ad313bedcefe951d27e94488b275e979a19a247b5b22ba1b001f3ade1089b2d8caff21c5f6fa4eff91071c4a65f7f5e14405e2b58befb443be8243a95242a155be93f7f815e1162df9dd9b3ab75927f383cedff817d31ecfa63168200b70cbbd69a841e5ed08b1f77883fd851b3514dcf9fba723403e6c3ddce9663e9275d3df642c6865d1a8d9a2e7ab7
[12-30 10:00:31.194 | IKEv2Client.java:239 | DEBUG ]  r_nonce: 06ef58c104e3ea76e5ba2b70143ab454be850690
[12-30 10:00:31.194 | IKEv2Client.java:263 | INFO  ]  saInitWithAcceptedSA, RET: OK
[12-30 10:00:31.199 | PktIKEEnc.java:209 | DEBUG ]  skEi: eb1e406c9ad5389e27896a83933a1f1d819ab0fa43cbc1537f868869e8bc46ed
[12-30 10:00:31.238 | IKEv2Parser.java:187 | DEBUG ]  Dec Data: 240000147959110647322b2ead2127711b88fc262700000c01000000640101642100004802000000b4ffeda164d2796fdb5b2175cf8a6ea6a759ef6ff1bfa1754a50aaf11bfff522c6b2d2e95d6b117c3db7c844729c229435557de87e76f75f685b11fdc7710cef2c0000280000002401030403cd8d665e0300000801000003030000080300000c00000008050000002d00001801000000070000100000ffff0a0101000a0101ff2900001801000000070000100000ffffac100000ac1000ff2900000c0100400100000005290000080100400a000000080100400b00000003
[12-30 10:00:31.238 | IKEv2Client.java:322 | INFO  ]  authWithPsk, RET: OK
[12-30 10:00:31.252 | PktIKEEnc.java:209 | DEBUG ]  skEi: eb1e406c9ad5389e27896a83933a1f1d819ab0fa43cbc1537f868869e8bc46ed
[12-30 10:00:31.711 | IKEv2CreChSaParser.java:26 | DEBUG ]  See CRE_CHILD_SA.
[12-30 10:00:31.714 | IKEv2Parser.java:187 | DEBUG ]  Dec Data: 2800003800000034010108043c7f9c7734587d3e0300000c0100000c800e01000300000802000007030000080300000e000000080400000e220000188d72e865199589c994026715758aeae55930ee2029000108000e00006702f68e10d5044da781e7386a3435fdf0dc67a3a5cb31157efe946a0a347c5cc89e49876f789e095b8c1bff5497d706db06959cc9f74c1b397ce1e1fa9d452ab5b3aeb532918d9bac6b01d21d6a39b4a33efe806e91d0ee78f47f7280371480724ffdd3cf35363ecd0ca7483e5281f80033f2e84d6ad313bedcefe951d27e94488b275e979a19a247b5b22ba1b001f3ade1089b2d8caff21c5f6fa4eff91071c4a65f7f5e14405e2b58befb443be8243a95242a155be93f7f815e1162df9dd9b3ab75927f383cedff817d31ecfa63168200b70cbbd69a841e5ed08b1f77883fd851b3514dcf9fba723403e6c3ddce9663e9275d3df642c6865d1a8d9a2e7ab70000000c010040010000000500000000000000000000000b
[12-30 10:00:31.715 | IKEv2CreChSaParser.java:93 | DEBUG ]  Nonce Length: 20
[12-30 10:00:31.716 | IKEv2CreChSaParser.java:94 | DEBUG ]  Offset: 60
[12-30 10:00:31.729 | IKEv2KeysGener.java:262 | DEBUG ]  skD: 83f403e50122d6a814cf1a30fe3d77de85b3adb31f47a499d3f071ae0377511e2d9fb7af649561032c81dd2839ba3d4f62589282b210208c9b717d9748e5f952
[12-30 10:00:31.729 | IKEv2KeysGener.java:263 | DEBUG ]  skAi: 733b81480ef8db1530f20e36bf5649650322c7921ed6722343759b9fb06743126514395b64f8dd02bd000265a7d55d6874d00efbd6f137cacc229527fa89d5e3
[12-30 10:00:31.729 | IKEv2KeysGener.java:264 | DEBUG ]  skAr: 703d7a74c17b96409fd4e8996908ccdfd99cb7266d438b024603ddca9ada97c6d393fcab5468558374acbf4a30843451996479058e8c02597811bc44cbc0400a
[12-30 10:00:31.730 | IKEv2KeysGener.java:265 | DEBUG ]  skEi: 96b6af9a26517ae3d61603eee156b598fa1437bbdfbd3ac4bf71f59e1acfffb9
[12-30 10:00:31.730 | IKEv2KeysGener.java:266 | DEBUG ]  skEr: 85cb481c9e3ed7193d060b62c7ab6ddfdf55288224d3bc793ad7180f847d4577
[12-30 10:00:31.730 | IKEv2KeysGener.java:267 | DEBUG ]  skPi: c62beca4ed795cf5c38ed4e3cdd2d723253d81a86aad8a9c62c7ee15b1df1617b6a3beefde22211006d545659b0e295a748bcbbffabb395d31625515bdd5f016
[12-30 10:00:31.730 | IKEv2KeysGener.java:268 | DEBUG ]  skPr: a968144179bfe31a793dfa16186dcb741d7114bf499ff4fc1f884c1f0526bc2f3c2b3450048658ffee350cee02dea838d195b31ca45bd4fc5db9ef1c9f0c5c8c
[12-30 10:00:31.730 | IKEv2KeysGener.java:269 | DEBUG ]  2b5f607d94714c66,3c7f9c7734587d3e,96b6af9a26517ae3d61603eee156b598fa1437bbdfbd3ac4bf71f59e1acfffb9,85cb481c9e3ed7193d060b62c7ab6ddfdf55288224d3bc793ad7180f847d4577,"AES-CBC-256 [RFC3602]",733b81480ef8db1530f20e36bf5649650322c7921ed6722343759b9fb06743126514395b64f8dd02bd000265a7d55d6874d00efbd6f137cacc229527fa89d5e3,703d7a74c17b96409fd4e8996908ccdfd99cb7266d438b024603ddca9ada97c6d393fcab5468558374acbf4a30843451996479058e8c02597811bc44cbc0400a,"HMAC_SHA2_512_256 [RFC4868]"
[12-30 10:00:31.731 | IKEv2Client.java:374 | DEBUG ]  new iSPI: 2b5f607d94714c66
[12-30 10:00:31.731 | IKEv2Client.java:375 | DEBUG ]  new rSPI: 3c7f9c7734587d3e
[12-30 10:00:31.731 | IKEv2Client.java:400 | INFO  ]  rekeyIKESA, RET: OK
[12-30 10:00:31.734 | PktIKEEnc.java:209 | DEBUG ]  skEi: eb1e406c9ad5389e27896a83933a1f1d819ab0fa43cbc1537f868869e8bc46ed
[12-30 10:00:31.741 | IKEv2Parser.java:187 | DEBUG ]  Dec Data: 00000008010000000000000000000007
[12-30 10:00:31.741 | IKEv2Client.java:503 | INFO  ]  delOldIKESA, RET: OK
[12-30 10:00:31.743 | PktIKEEnc.java:209 | DEBUG ]  skEi: 96b6af9a26517ae3d61603eee156b598fa1437bbdfbd3ac4bf71f59e1acfffb9
[12-30 10:00:31.751 | IKEv2Parser.java:187 | DEBUG ]  Dec Data: 00000008010000000000000000000007
[12-30 10:00:31.751 | IKEv2Client.java:452 | INFO  ]  delCurIKESA, RET: OK
[12-30 10:00:31.783 | TestMain.java:51 | DEBUG ]  End Time: 2021-12-30 10:00:31:782
[12-30 10:00:31.784 | TestMain.java:52 | DEBUG ]  Use Time: 1.402s
[12-30 13:57:36.077 | TestMain.java:36 | DEBUG ]  Start Time: 2021-12-30 01:57:36:074
[12-30 13:57:36.083 | IKEv2Client.java:70 | DEBUG ]  CREATE IKEv2 CLIENT! 
[12-30 13:57:37.269 | IKEv2KeysGener.java:218 | DEBUG ]  skD: 659a215665df4062c624385450ef68b7cb40ab1359d9377e6fac7c2241927396a722d5c162464e6d28de81d909812abdcb5d9301fba19f7bc75e94b9a6e6a7f3
